,Name,SMILES,FKBP51 [nM],dG_FKBP51 [kJ/mol],label,color
0,15c,COc1cc2cc(OC)c1OCCOCCOCCOCCOCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,459.65,-36.174925397512204,LL6-13,cornflowerblue
1,10d,O=C1OCCOCCOCCOCCOCCOc2cc(cc(OC)c2OC)[C@H](C2CCCCC2)C(=O)N2CCCC[C@@H]12,317.2,-37.09445197010171,LL6-13,cornflowerblue
2,10c,O=C1[C@@H](C2CCCCC2)c2cc(OCCOCCOCCOCCOC(=O)[C@@H]3CCCCN31)c(OC)c(OC)c2,245.5,-37.72964886948081,LL6-13,cornflowerblue
3,15b,COc1cc2cc(OC)c1OCCOCCOCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,404.0,-36.49483592353517,LL6-13,cornflowerblue
4,10b,O=C1OCCOCCOCCOc2cc(cc(OC)c2OC)[C@H](C2CCCCC2)C(=O)N2CCCC[C@@H]12,436.9,-36.30075972129163,LL6-13,cornflowerblue
5,29c,COc1cc2cc(OC)c1OCCCOC[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,145.0,-39.03497642758443,LL6-13,cornflowerblue
6,29d,COc1cc2cc(OC)c1OCCCOC[C@@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,567.0,-35.6546072566365,LL6-13,cornflowerblue
7,29a,COc1cc2cc(OC)c1OCCOC[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,50.4,-41.65459584338007,LL5,darkblue
8,43a,COc1cc2cc(OC)c1OCCO[C@@H](C)[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,1060.0,-34.10361089581036,LL5,darkblue
9,29b,COc1cc2cc(OC)c1OCCOC[C@@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,605.0,-35.4937994105725,LL5,darkblue
10,43d,COc1cc2cc(OC)c1OCCO[C@@H](C)[C@@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,217.0,-38.03555115971891,LL5,darkblue
11,43c,COc1cc2cc(OC)c1OCCO[C@H](C)[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,920.0,-34.454756440830565,LL5,darkblue
12,29a',COc1cc2cc(OC)c1OCCOC[C@H](CC)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,386.0,-36.60782060861388,LL5,darkblue
13,43b,COc1cc2cc(OC)c1OCCO[C@H](C)[C@@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,126.0,-39.38315049244111,LL5,darkblue
14,15a,COc1cc2cc(OC)c1OCCOCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,509.0,-35.92211470055794,LL5,darkblue
15,10a,O=C1N2CCCC[C@H]2C(=O)OCCOCCOc2cc(cc(OC)c2OC)[C@@H]1C1CCCCC1,8763.0,-28.86738580847512,LL5,darkblue
16,1,O=C(OC)[C@H]1N(C([C@H](C2=CC(OC)=C(OC)C(OC)=C2)C3CCCCC3)=O)CCCC1,2830.0,-31.669255748122364,Acyclic,orange
17,LinSAFitAnalog1,O=C(N1[C@H](C(OCCN2C=CC=C2)=O)CCCC1)[C@@H](C3CCCCC3)C4=CC(OC)=C(OC)C(OC)=C4,400.0,-36.5195023661505,Acyclic,orange
18,LinSAFitAnalog2,COC1=CC(=CC(OC)=C1OC)[C@H](C1CCCCC1)C(=O)N1CCCCC1C(=O)OCCN1C=CN=C1,300.0,-37.23265386194542,Acyclic,orange
19,LR4b,COC1=C(OC)C(OC)=CC([C@@H](C(N2CCCC[C@H]2C(O[C@H](COC)C)=O)=O)C3CCCCC3)=C1,3000.0,-31.524644359410168,Acyclic,orange
